artifact_id,artifact_type,paper_location,current_filename,tex_source,caption,claimed_metric,model,task,precision,mode,quantizer,h_grid,seed,run_type,source_data,generation_script,status,notes
tex_graphic_1,figure,fig:analytic-window,paper_fig_analytic_window.pdf,hwindow_final_experiments_bundle_v2/PAPER_INSERTION_SNIPPETS.tex,,,,,,,,,,,,,REGENERATE,Historical TeX reference; regenerated final artifacts use manifest rows.
tex_input_2,table_or_tex_input,fig:analytic-window,table_precision_window.tex,hwindow_final_experiments_bundle_v2/PAPER_INSERTION_SNIPPETS.tex,,,,,,,,,,,,,REGENERATE,Historical TeX input; final package includes regenerated tables.
tex_input_3,table_or_tex_input,fig:analytic-window,table_roberta_multitask_main.tex,hwindow_final_experiments_bundle_v2/PAPER_INSERTION_SNIPPETS.tex,,,,,,,,,,,,,REGENERATE,Historical TeX input; final package includes regenerated tables.
tex_input_4,table_or_tex_input,fig:analytic-window,table_opt_cross_arch.tex,hwindow_final_experiments_bundle_v2/PAPER_INSERTION_SNIPPETS.tex,,,,,,,,,,,,,REGENERATE,Historical TeX input; final package includes regenerated tables.
fig:analytic_window,figure,main,figures/main/paper_fig_analytic_window.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,Measured one-sided surrogate MSE and frozen analytical envelope; Panel C uses empirical rho-window center slopes.,Measured one-sided surrogate MSE and frozen analytical envelope; Panel C uses empirical rho-window center slopes.,synthetic_quadratic,analytical,perturbation_mid_tread,one_sided_probe,Q_Delta_mid_tread,from analytic_window_raw.csv,common Monte Carlo directions,simulation,data/processed/table_analytic_window.csv,tools/build_paper_artifacts_final.py,VALID,Surrogate validates envelope trends; it is not end-to-end model training.
fig:precision_window,figure,main,figures/main/paper_fig_precision_window.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,Theoretical tau=1 window when certified; empirical accuracy good set is best_dev_acc >= best - 0.01.,Theoretical tau=1 window when certified; empirical accuracy good set is best_dev_acc >= best - 0.01.,roberta-large,sst-5,fp32;fp16;int8;int4,dense,G128_RTNClip for int8/int4,precision sweep grids from source CSV,16,full sweep existing logs,data/processed/precision_window_theory_vs_empirical.csv,tools/build_paper_artifacts_final.py,VALID,FP32/FP16 empirical-only; INT4 has no tau=1 certificate.
fig:sst5_true_mse,figure,main,figures/main/paper_fig_sst5_true_mse.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,"true_directional_nmse = E[(d_Q(h,u)-grad^T u)^2]/E[(grad^T u)^2]","true_directional_nmse = E[(d_Q(h,u)-grad^T u)^2]/E[(grad^T u)^2]",roberta-large,sst-5,int8;int4,dense,G128_RTNClip_shared_grid_fake_quant,1e-5 through 1e-2 for final true-MSE curves,16,probe only,data/processed/sst5_true_directional_mse.csv,tools/build_paper_artifacts_final.py,VALID,INT4 uses 1 batch and 16 directions; adequate to fix proxy-vs-true conflict but not a broad uncertainty study.
fig:int4_visibility,figure,main_or_appendix_diagnostic,figures/main/paper_fig_int4_visibility_diagnostics.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,"Geometry/visibility diagnostics, not true directional MSE.","Geometry/visibility diagnostics, not true directional MSE.",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,same as INT4 true-MSE probe,16,probe only,data/processed/sst5_true_directional_mse.csv,tools/build_paper_artifacts_final.py,VALID,Diagnostic only; must not be used as directional MSE.
fig:sst5_accuracy_vs_h,figure,main_or_appendix,figures/main/paper_fig_sst5_accuracy_vs_h.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,Top: true_directional_nmse. Bottom: best dev accuracy; W_acc uses best - 0.01.,Top: true_directional_nmse. Bottom: best dev accuracy; W_acc uses best - 0.01.,roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,INT4 h-search and true-MSE probe grids,16,full training sweep plus probe,data/processed/sst5_int4_accuracy_hsweep.csv; data/processed/sst5_true_directional_mse.csv,tools/build_paper_artifacts_final.py,VALID,MSE and training use existing runs; no new sweep was launched.
fig:opt_cross_arch,figure,appendix,figures/appendix/paper_fig_opt_cross_arch.pdf,paper_updated/PAPER_INSERTION_SNIPPETS.tex,accuracy comparison of default and analytical reference h.,accuracy comparison of default and analytical reference h.,facebook/opt-1.3b,sst-2;sst-5;mnli;rte;trec,int4,dense,G128_RTNClip_shared_grid_fake_quant,default and reference only,16,full existing logs,data/processed/opt_cross_arch_main.csv,tools/build_paper_artifacts_final.py,VALID,Transfer sanity only; TREC failure retained.
